surface	lemma	paradigm	semantic_id
אבא	אבא	ז,ע,יחיד	n_masc_regular
אבדה	אבדה	נ,ע,יחיד	n_fem_regular
אבדון	אבדון	ז,ע,יחיד	n_masc_regular
אבדון	אבדון	ז,ע,יחיד,סמיכות	n_construct_singular
אבדוני	אבדון	ז,ע,רבים,סמיכות	n_construct_plural
אבדונים	אבדון	ז,ע,רבים	n_masc_regular
אבדות	אבדה	נ,ע,רבים	n_fem_regular
אבדות	אבדה	נ,ע,רבים,סמיכות	n_construct_plural
אבדן	אבדן	ז,ע,יחיד	n_masc_regular
אבדן	אבדן	ז,ע,יחיד,סמיכות	n_construct_singular
אבדני	אבדן	ז,ע,רבים,סמיכות	n_construct_plural
אבדני	אבדני	ת,יחיד,ז	adj_unbound
אבדני	אבדני	ת,יחיד,ז,סמיכות	adj_construct
אבדניות	אבדני	ת,רבים,נ	adj_unbound
אבדניות	אבדני	ת,רבים,נ,סמיכות	adj_construct
אבדניי	אבדני	ת,רבים,ז,סמיכות	adj_construct
אבדניים	אבדני	ת,רבים,ז	adj_unbound
אבדנים	אבדן	ז,ע,רבים	n_masc_regular
אבדנית	אבדני	ת,יחיד,נ	adj_unbound
אבדנית	אבדני	ת,יחיד,נ,סמיכות	adj_construct
אבדת	אבדה	נ,ע,יחיד,סמיכות	n_construct_singular
אבהות	אבהות	נ,ע,יחיד	n_fem_regular
אבהות	אבהות	נ,ע,יחיד,סמיכות	n_construct_singular
אבהי	אבהי	ת,יחיד,ז	adj_unbound
אבהי	אבהי	ת,יחיד,ז,סמיכות	adj_construct
אבהיות	אבהי	ת,רבים,נ	adj_unbound
אבהיות	אבהי	ת,רבים,נ,סמיכות	adj_construct
אבהיי	אבהי	ת,רבים,ז,סמיכות	adj_construct
אבהיים	אבהי	ת,רבים,ז	adj_unbound
אבהית	אבהי	ת,יחיד,נ	adj_unbound
אבהית	אבהי	ת,יחיד,נ,סמיכות	adj_construct
אבוב	אבוב	ז,ע,יחיד	n_masc_regular
אבוב	אבוב	ז,ע,יחיד,סמיכות	n_construct_singular
אבובי	אבוב	ז,ע,רבים,סמיכות	n_construct_plural
אבובים	אבוב	ז,ע,רבים	n_masc_regular
אבוד	אבוד	ת,יחיד,ז	adj_unbound
אבוד	אבוד	ת,יחיד,ז,סמיכות	adj_construct
אבודה	אבוד	ת,יחיד,נ	adj_unbound
אבודות	אבוד	ת,רבים,נ	adj_unbound
אבודות	אבוד	ת,רבים,נ,סמיכות	adj_construct
אבודי	אבוד	ת,רבים,ז,סמיכות	adj_construct
אבודים	אבוד	ת,רבים,ז	adj_unbound
אבודת	אבוד	ת,יחיד,נ,סמיכות	adj_construct
אבולוציה	אבולוציה	נ,ע,יחיד	n_fem_regular
אבולוציוני	אבולוציוני	ת,יחיד,ז	adj_unbound
אבולוציוני	אבולוציוני	ת,יחיד,ז,סמיכות	adj_construct
אבולוציוניות	אבולוציוני	ת,רבים,נ	adj_unbound
אבולוציוניות	אבולוציוני	ת,רבים,נ,סמיכות	adj_construct
אבולוציוניי	אבולוציוני	ת,רבים,ז,סמיכות	adj_construct
אבולוציוניים	אבולוציוני	ת,רבים,ז	adj_unbound
אבולוציונית	אבולוציוני	ת,יחיד,נ	adj_unbound
אבולוציונית	אבולוציוני	ת,יחיד,נ,סמיכות	adj_construct
אבולוציות	אבולוציה	נ,ע,רבים	n_fem_regular
אבולוציות	אבולוציה	נ,ע,רבים,סמיכות	n_construct_plural
אבולוציית	אבולוציה	נ,ע,יחיד,סמיכות	n_construct_singular
אבוס	אבוס	ז,ע,יחיד	n_masc_regular
אבוס	אבוס	ז,ע,יחיד,סמיכות	n_construct_singular
אבוסי	אבוס	ז,ע,רבים,סמיכות	n_construct_plural
אבוסים	אבוס	ז,ע,רבים	n_masc_regular
אבוקדו	אבוקדוא	ז,ע,יחיד	n_masc_regular
אבוקדו	אבוקדוא	ז,ע,יחיד,סמיכות	n_construct_singular
אבוקדות	אבוקדוא	ז,ע,רבים	n_masc_regular
אבוקדות	אבוקדוא	ז,ע,רבים,סמיכות	n_construct_plural
אבוקה	אבוקה	נ,ע,יחיד	n_fem_regular
אבוקות	אבוקה	נ,ע,רבים	n_fem_regular
אבוקות	אבוקה	נ,ע,רבים,סמיכות	n_construct_plural
אבוקת	אבוקה	נ,ע,יחיד,סמיכות	n_construct_singular
אבזור	אבזור	ז,ע,יחיד	n_masc_regular
אבזור	אבזור	ז,ע,יחיד,סמיכות	n_construct_singular
אבזורי	אבזור	ז,ע,רבים,סמיכות	n_construct_plural
