lemma	paradigm	tags	sources_count	source_flags
כלב	ע		2	HL
כלבה	ע		2	HL
כלבי	ת		2	HL
כלביות	ע,יחיד		1	H
ירוק	ת		2	HL
גמד	ע		2	HL
גמדי	ת		2	HL
גמדת	ע	#,[3],gives,only,גמדת,as,the,female,of,גמד,,but,[4],also,gives,גמדה.,Doing,a,Google,search,,גמדה,is,overwhelmingly,more,popular,than,גמדת.	1	H
גמדה	ע		2	HL
גמדות	ע,יחיד		1	H
חנות	ע		2	HL
אות	ע,ות,שמור_ת,זכר		2	HL
אות	ע,יות,שמור_ת,נקבה		2	HL
מכונית	ע		2	HL
חזית	ע,שמור_ת		2	HL
חזיתי	ת		2	HL
חזייה	ע		2	HL
שולחן	ע,ות		2	HL
שולחני	ת		2	HL
טלית	ע,שמור_ת		2	HL
חיטה	ע,ים		2	HL
שנה	ע,רבים=שנות,נפרדים=שנים,זוגי		2	HL
שנתי	ת		2	HL
מים	ע,רבים=מימים,נפרדים=מים,אין_יחיד		2	HL
מימי	ת		2	HL
כותל	ע,אבד_ו		2	HL
צומת	ע,ים,אבד_ו		2	HL
חודש	ע,זוגי		2	HL
פועל	ע		2	HL
שם	ע,ות		2	HL
שמי	ת		2	HL
שמני	ת	#,lingustics,term	2	HL
דוגמה	ע,ות,אות	#,note:,extra,vav,added,in,ktiv,male	2	HL
גבוה	ת,שמור_ה		2	HL
יפה	ת		2	HL
יפה	ע	#,The,(feminine),form,יפתי,is,often,used.	2	HL
אב	ע,ות,מיוחד_אח		2	HL
אח	ע,מיוחד_אח		2	HL
פושר	ת,נקבה_ת		2	HL
רשאי	ת,ם		2	HL
מצווה	ע		2	HL
עירייה	ע		2	HL
נחיר	ע,ים,יים		2	HL
צבא	ע,ות		2	HL
צבאי	ת		2	HL
זרא	ע,אין_נטיות	#,in,the,phrase,היה,לו,לזרא.	1	H
צמא	ע,יחיד	#,צימאון,should,probably,be,preferred	2	HL
יום	ע,רבים=ימים,זוגי		2	HL
יומי	ת		2	HL
יומיומי	ת		2	HL
קריה	ע	#,Interestingly,,the,plural,of,this,specific,word,can,be,(according,to,the,Academia's,site),be,pronounced,in,two,ways:,krayot,and,kriyyot.	2	HL
מורה	ע,ים,סגול_ה		2	HL
פנאי	ע		2	HL
סקופ	ע		2	HL
מקווקו	ת,נקבה_ת		1	H
שוwק	ע,אבד_ו	#,שוק	1	H
שוwר	ע,אבד_ו	#,שור	1	H
דוwד	ע,אבד_ו	#,דוד	1	H
אריה	ע,ות,סגול_ה		2	HL
אפעה	ע,אין_נטיות,סגול_ה		2	HL
נוגh	ע,רבים=נגוהות	#,נוגה	1	H
קושY	ע,נסמך=קשי,רבים=קשיים	#,קושי	1	H
שwY	ע,יחיד	#,שווי,should,be,written,שowי,,perhaps,,or,in,another,manner...	1	H
יופY	ע,נסמך=יפי,יחיד	#,יופי	1	H
בורY	ע,נסמך=ברי,יחיד	#,בורי,(בוריו,,etc).	1	H
רואY	ע,אין_נטיות	#,רואי,(usually,used,as,"קצר,רואי".,inflections,useless)	1	H
שונY	ע,יחיד	#,שוני	1	H
דופY	ע,יחיד	#,דופי	1	H
דY	ע,יחיד		1	H
משנה	ע,יות		2	HL
משנאי	ת		1	H
גולגולת	ע,רבים=גולגולות,נסמכים=גולגלות		2	HL
כותונת	ע,נסמך=כתונת,רבים=כותונות,נסמכים=כותנות		2	HL
גברת	ע,רבים=גברות,נסמכים=גבירות		2	HL
ממאיר	ת,יחידה=ממארת,נקבה_ה		2	HL
ממאירות	ע		2	HL
מגדיל	ת,יחידה=מגדלת,נקבה_ה		2	HL
מדמיע	ת,יחידה=מדמעת,נקבה_ה		2	HL
מקיף	ת,יחידה=מקפת,נקבה_ה		2	HL
