lemma	paradigm	tags	rule	detail
שם	ע,ות		too-short-undercorroborated	
אב	ע,ות,מיוחד_אח		too-short-undercorroborated	
אח	ע,מיוחד_אח		too-short-undercorroborated	
דY	ע,יחיד		too-short-undercorroborated	
מוחדש	ת,נקבה_ת	#,Refurbished.,A,new,Academia,term,from,1995.	archaic-tag	
מס	ע		too-short-undercorroborated	
סף	ע	#,Many,people,don't,know,this,,but,the,plural,is,pronounced,"sipim",,and,it's,correct,niqqud-less,spelling,ספים.	too-short-undercorroborated	
צד	ע,ים,רבים=צדדים		too-short-undercorroborated	
בת	ע,רבים=בנות		too-short-undercorroborated	
פת	ע,ים,נקבה		too-short-undercorroborated	
כת	ע,ות,שמור_ת		too-short-undercorroborated	
בז	ע		too-short-undercorroborated	
לב	ע,ות,רבים=לבבות		too-short-undercorroborated	
אם	ע,רבים=אימהות,נסמכים=אמות,נקבה		too-short-undercorroborated	
חץ	ע		too-short-undercorroborated	
אט	ע		too-short-undercorroborated	
גת	ע,שמור_ת	#,[3],says,only,ות,,but,[4],and,[5],allow,also,ים,,גתים.,(note,that,if,we,add,ים,,we'll,also,need,to,add,an,explicit,feminine,gender).,TODO:,reconsider.	too-short-undercorroborated	
נס	ע		too-short-undercorroborated	
חן	ע		too-short-undercorroborated	
אש	ע,יחיד,נקבה	#,[1],says,it,is,also,זכר...,TODO:,Dan,thinks,there's,a,plural.	too-short-undercorroborated	
קץ	ע		too-short-undercorroborated	
נץ	ע		too-short-undercorroborated	
גט	ע		too-short-undercorroborated	
תל	ע		too-short-undercorroborated	
עז	ע,נקבה		too-short-undercorroborated	
קן	ע		too-short-undercorroborated	
חך	ע	#,The,spelling,חיך,is,incorrect,,although,the,online,version,of,[4],brings,up,the,entry,חך,when,you,type,it.	too-short-undercorroborated	
עת	ע,ים,ות,שמור_ת,נקבה		too-short-undercorroborated	
את	ע,ים	#,shovel	too-short-undercorroborated	
שן	ע,יים,מיוחד_שן,נקבה		too-short-undercorroborated	
צל	ע,רבים=צללים		too-short-undercorroborated	
גץ	ע		too-short-undercorroborated	
תנובה	ע		brand-blacklist	
דק	ת		too-short-undercorroborated	
אסם	ע		brand-blacklist	
אתת	ע,ים,אין_כינויים	#,A,profession,rarely,mentioned,today...	archaic-tag	
צח	ת		too-short-undercorroborated	
רך	ת		too-short-undercorroborated	
חף	ת		too-short-undercorroborated	
לח	ת		too-short-undercorroborated	
דל	ת		too-short-undercorroborated	
גס	ת		too-short-undercorroborated	
קל	ת		too-short-undercorroborated	
חד	ת		too-short-undercorroborated	
גא	ת	#,see,also,גאה	too-short-undercorroborated	
כן	ת		too-short-undercorroborated	
ער	ת		too-short-undercorroborated	
גר	ת		too-short-undercorroborated	
עד	ע		too-short-undercorroborated	
שת	ע,ות,שמור_ת,זכר	#,ישבן;,not,in,modern,use.,TODO:,reconsider,this,word.	too-short-undercorroborated	
עט	ע		too-short-undercorroborated	
זר	ע		too-short-undercorroborated	
רח	ע,יים,אין_יחיד,זכר,נקבה	#,רחיים.,the,form,"ריחיים",is,incorrect,-,the,yod,is,unnecessary.,NOTE:,[2],and,[3],think,this,word,can,be,both,feminine,and,masculine,,while,[1],and,[4],say,it,can,only,be,masculine.	too-short-undercorroborated	
לץ	ע		too-short-undercorroborated	
זד	ע	#,אויב,מרושע.,Not,useful,in,modern,texts...	too-short-undercorroborated	
מת	ע,ים		too-short-undercorroborated	
מת	ע,ים,אין_יחיד	#,rare,word,meaning,"people",,used,especially,in,מתי-מעט.	too-short-undercorroborated	
הד	ע		too-short-undercorroborated	
אל	ע		too-short-undercorroborated	
שד	ע		too-short-undercorroborated	
בר	ע	#,grain,(spelling,with,kamats,-,for,"wild",,see,בר,with,patach).	too-short-undercorroborated	
נר	ע,ות		too-short-undercorroborated	
אד	ע,אין_כינויי_יחיד		too-short-undercorroborated	
לוף	ע	#,A,kind,of,plant,,and,a,Hebrew-ized,meat-"loaf".,Possesives,aren't,useful...	archaic-tag	
דוק	ע	#,A,game,with,straws.,Usually,in,plural,form,,דוקים.	archaic-tag	
עץ	ע		too-short-undercorroborated	
גו	ע		too-short-undercorroborated	
דת	ע,ות,שמור_ת		too-short-undercorroborated	
רץ	ע		too-short-undercorroborated	
עב	ע	#,ות,נקבה,is,also,correct,,but,archaic,(according,to,[3];,see,also,[2],,[1])	too-short-undercorroborated	
סב	ע		too-short-undercorroborated	
רז	ע		too-short-undercorroborated	
צג	ע		too-short-undercorroborated	
תג	ע		too-short-undercorroborated	
וו	ע		too-short-undercorroborated	
זר	ע		too-short-undercorroborated	
דג	ע		too-short-undercorroborated	
שד	ע,יים		too-short-undercorroborated	
עש	ע		too-short-undercorroborated	
תו	ע		too-short-undercorroborated	
פן	ע		too-short-undercorroborated	
פן	ע,אין_יחיד,זכר,נקבה	#,פנים	too-short-undercorroborated	
דם	ע		too-short-undercorroborated	
ים	ע		too-short-undercorroborated	
תם	ע		too-short-undercorroborated	
סך	ע,אין_נטיות		too-short-undercorroborated	
צב	ע		too-short-undercorroborated	
פז	ע	#,inflections,aren't,useful...	too-short-undercorroborated	
תא	ע		too-short-undercorroborated	
חם	ע,מיוחד_אח		too-short-undercorroborated	
חם	ת		too-short-undercorroborated	
קר	ת		too-short-undercorroborated	
שר	ע		too-short-undercorroborated	
גר	ע		too-short-undercorroborated	
רע	ע		too-short-undercorroborated	
דע	ע,אין_יחיד,אין_נטיות_רבים	#,Usually,in,the,phrase,תמימות,דעים.	too-short-undercorroborated	
בן	ע		too-short-undercorroborated	
כן	ע		too-short-undercorroborated	
יד	ע,יים,נקבה		too-short-undercorroborated	
כף	ע,ות,יים,נקבה		too-short-undercorroborated	
אף	ע,ים,יים		too-short-undercorroborated	
גף	ע,ים,יים,זכר,נקבה	#,[2],allows,ים,,but,[3],does,not...,TODO:,add,גפה,to,likelyerrors?	too-short-undercorroborated	
קב	ע,יים,ים	#,קביים.,ים,is,an,archaic,volume,unit.	too-short-undercorroborated	
שד	ע,יים	#,hmm,,*his*,tits,do,not,make,sense...,should,I,bother,about,that?	too-short-undercorroborated	
אפל	ת		brand-blacklist	
רב	ת		too-short-undercorroborated	
רב	ע,ות	#,TODO:,plural,only,used,inflection:,רבותיי,,רבותיהם,,etc.	too-short-undercorroborated	
רב	ע,רבים=רבנים		too-short-undercorroborated	
גן	ע		too-short-undercorroborated	
פך	ע,אין_כינויים	#,used,only,for,פך,השמן,and,can,unfortunately,be,a,misspelling,of,פח..	too-short-undercorroborated	
תך	ע,אין_כינויים		too-short-undercorroborated	
פג	ע		too-short-undercorroborated	
סד	ע		too-short-undercorroborated	
טף	ע,יחיד		too-short-undercorroborated	
זג	ע	#,קליפת,הענב.,Not,used,in,modern,texts.,Note,that,[1],thinks,זג,is,like,רץ,(kamats).,[2],and,[3],disagree.	too-short-undercorroborated	
דד	ע	#,breast	too-short-undercorroborated	
הס	ע,אין_נטיות	#,הושלך,הס	too-short-undercorroborated	
תן	ע	#,the,animal	too-short-undercorroborated	
שק	ע		too-short-undercorroborated	
גל	ע		too-short-undercorroborated	
חט	ע		too-short-undercorroborated	
דש	ע		too-short-undercorroborated	
בד	ע		too-short-undercorroborated	
קש	ע,יחיד	#,the,plural,is,more,of,"קשה"...	too-short-undercorroborated	
סם	ע		too-short-undercorroborated	
דף	ע		too-short-undercorroborated	
רף	ע		too-short-undercorroborated	
סל	ע		too-short-undercorroborated	
טל	ע,רבים=טללים		too-short-undercorroborated	
קו	ע	#,According,to,an,Academia,decision,from,November,13,,2005,,this,word,has,patach.	too-short-undercorroborated	
צו	ע	#,According,to,an,Academia,decision,from,November,13,,2005,,this,word,has,patach.	too-short-undercorroborated	
גז	ע		too-short-undercorroborated	
גב	ע		too-short-undercorroborated	
כד	ע		too-short-undercorroborated	
חג	ע		too-short-undercorroborated	
פס	ע		too-short-undercorroborated	
גג	ע,ות		too-short-undercorroborated	
קת	ע,ות,שמור_ת		too-short-undercorroborated	
פח	ע		too-short-undercorroborated	
פר	ע		too-short-undercorroborated	
כר	ע		too-short-undercorroborated	
צר	ע	#,literary	too-short-undercorroborated	
בר	ע,אין_נטיות	#,meaning,wild	too-short-undercorroborated	
זן	ע		too-short-undercorroborated	
עם	ע,ים,רבים=עממים		too-short-undercorroborated	
הר	ע,ים,רבים=הררים		too-short-undercorroborated	
עז	ת		too-short-undercorroborated	
שי	ע,סגול_ה,ים,נפרד=שה,נסמך=שה	#,שה	too-short-undercorroborated	
